step,row,column,roughness,mobility_cost
0,0,0,0.000000,1.000000
1,1,0,0.366184,3.681821
2,1,1,0.578519,7.693681
3,1,2,0.009078,1.001648
4,1,3,0.046727,1.043668
5,1,4,0.180919,1.654637
6,2,4,0.403789,4.260918
7,3,4,0.027622,1.015260
8,3,5,0.160023,1.512148
9,4,5,0.259825,2.350177
10,5,5,0.432820,4.746665
11,6,5,0.133781,1.357946
12,7,5,0.385657,3.974634
13,8,5,0.051341,1.052718
14,8,6,0.037605,1.028282
15,9,6,0.065929,1.086932
16,9,7,0.169363,1.573675
17,10,7,0.143054,1.409290
18,11,7,0.543958,6.917811
19,12,7,0.092830,1.172348
20,12,8,0.151956,1.461815
21,12,9,0.615732,8.582521
22,13,9,0.005123,1.000525
23,14,9,0.031100,1.019344
24,14,10,0.184803,1.683043
25,15,10,0.207364,1.859995
26,16,10,0.205247,1.842525
27,16,11,0.088203,1.155596
28,17,11,0.289979,2.681758
29,17,12,0.107856,1.232657
30,17,13,0.511566,6.234001
31,18,13,0.488709,5.776734
32,19,13,0.147453,1.434848
33,19,14,0.056834,1.064602
34,19,15,0.014477,1.004191
35,20,15,0.365629,3.673696
36,20,16,0.094707,1.179389
37,20,17,0.605602,8.335079
38,20,18,0.362393,3.626572
39,20,19,0.143866,1.413949
40,20,20,0.288022,2.659131
41,20,21,0.006887,1.000949
42,20,22,0.148882,1.443319
43,20,23,0.425337,4.618236
44,20,24,0.104935,1.220228
45,20,25,0.006004,1.000721
46,21,25,0.209016,1.873757
47,21,26,0.681815,10.297445
48,21,27,0.461619,5.261839
49,21,28,0.098302,1.193265
50,21,29,0.862276,15.870397
51,21,30,0.328101,3.153000
52,22,30,0.457719,5.190138
53,22,31,0.277896,2.544521
54,22,32,0.173379,1.601204
55,23,32,0.282429,2.595323
56,23,33,0.036459,1.026586
57,23,34,0.259962,2.351602
58,23,35,0.457597,5.187892
59,23,36,0.120160,1.288770
60,23,37,0.080607,1.129950
61,24,37,0.294670,2.736611
62,25,37,0.486549,5.734605
63,26,37,0.043620,1.038054
64,27,37,0.593455,8.043782
65,27,38,0.208984,1.873485
66,27,39,0.234439,2.099237
67,27,40,0.063666,1.081067
68,27,41,0.521828,6.446085
69,27,42,0.181379,1.657969
70,28,42,0.358722,3.573627
71,28,43,0.297866,2.774485
72,29,43,0.371691,3.763085
73,30,43,0.193099,1.745746
74,31,43,0.113840,1.259190
75,32,43,0.367799,3.705527
76,33,43,0.377029,3.843019
77,33,44,0.459029,5.214149
78,33,45,0.420042,4.528702
79,34,45,0.152927,1.467732
80,35,45,0.285363,2.628642
81,36,45,0.040871,1.033408
82,37,45,0.490566,5.813100
83,37,46,0.266629,2.421825
84,37,47,0.204791,1.838787
85,38,47,0.120569,1.290738
86,39,47,0.151038,1.456249
87,40,47,0.568084,7.454395
88,41,47,0.416900,4.476111
89,41,48,0.385351,3.969909
90,42,48,0.190869,1.728617
91,42,49,0.290979,2.693371
92,42,50,0.069829,1.097522
93,43,50,0.680764,10.268792
94,44,50,0.048537,1.047118
95,45,50,0.138949,1.386138
96,46,50,0.099909,1.199635
97,46,51,0.502775,6.055655
98,46,52,0.444283,4.947745
99,47,52,0.142695,1.407240
100,48,52,0.075903,1.115226
101,48,53,0.296905,2.763053
102,49,53,0.276174,2.525447
103,50,53,0.016793,1.005640
104,50,54,0.031224,1.019499
105,51,54,0.022030,1.009706
106,51,55,0.000234,1.000001
107,51,56,0.035319,1.024949
108,52,56,0.238347,2.136182
109,53,56,0.121488,1.295189
110,53,57,0.113988,1.259865
111,54,57,0.099571,1.198287
112,55,57,0.437556,4.829105
113,56,57,0.272141,2.481212
114,57,57,0.160678,1.516346
115,58,57,0.153586,1.471771
116,58,58,0.226616,2.027094
117,59,58,0.496446,5.929170
118,60,58,0.087148,1.151894
119,61,58,0.026715,1.014274
120,61,59,0.075257,1.113272
121,61,60,0.597444,8.138789
122,61,61,0.409458,4.353117
123,61,62,0.038994,1.030411
124,61,63,0.340829,3.323292
125,62,63,0.854947,15.618687
126,63,63,0.000000,1.000000
